GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
udbx4j,com.supermap.udbx.system,SmFieldInfoDao,179,0,14,0,42,0,13,0,6,0
udbx4j,com.supermap.udbx.system,UdbxSchemaInitializer,58,0,0,0,23,0,7,0,7,0
udbx4j,com.supermap.udbx.system,GeometryColumnsDao,78,0,12,0,21,0,9,0,3,0
udbx4j,com.supermap.udbx.system,SmRegisterDao,187,70,15,3,52,18,16,3,7,3
udbx4j,com.supermap.udbx.system,SmDataSourceInfoDao,68,0,12,0,17,0,9,0,3,0
udbx4j,com.supermap.udbx.dataset,LineFeature,7,31,2,0,0,7,2,1,1,1
udbx4j,com.supermap.udbx.dataset,Dataset,5,28,0,0,2,9,2,6,2,6
udbx4j,com.supermap.udbx.dataset,PointDataset,382,139,31,9,80,33,19,9,3,5
udbx4j,com.supermap.udbx.dataset,CadFeature,38,0,2,0,7,0,3,0,2,0
udbx4j,com.supermap.udbx.dataset,PointZDataset,509,0,40,0,102,0,28,0,8,0
udbx4j,com.supermap.udbx.dataset,RegionDataset,401,108,32,8,76,26,20,8,4,4
udbx4j,com.supermap.udbx.dataset,PointFeature,0,38,0,2,0,7,0,3,0,2
udbx4j,com.supermap.udbx.dataset,TabularDataset,379,103,28,8,71,25,18,8,4,4
udbx4j,com.supermap.udbx.dataset,TabularRecord,1,30,1,1,0,6,1,2,0,2
udbx4j,com.supermap.udbx.dataset,VectorDataset,0,9,0,0,0,3,0,2,0,2
udbx4j,com.supermap.udbx.dataset,LineDataset,417,92,34,6,79,23,22,6,4,4
udbx4j,com.supermap.udbx.dataset,RegionZDataset,509,0,40,0,102,0,28,0,8,0
udbx4j,com.supermap.udbx.dataset,CadDataset,503,0,40,0,102,0,28,0,8,0
udbx4j,com.supermap.udbx.dataset,RegionFeature,1,37,1,1,0,7,1,2,0,2
udbx4j,com.supermap.udbx.dataset,LineZDataset,509,0,40,0,102,0,28,0,8,0
udbx4j,com.supermap.udbx.geometry.cad,CadGeometry.GeoRegion3D,23,0,0,0,2,0,2,0,2,0
udbx4j,com.supermap.udbx.geometry.cad,CadGeometryReader,785,0,33,0,162,0,47,0,23,0
udbx4j,com.supermap.udbx.geometry.cad,CadGeometry.GeoLine,20,0,0,0,2,0,2,0,2,0
udbx4j,com.supermap.udbx.geometry.cad,StyleMarker,39,0,0,0,1,0,1,0,1,0
udbx4j,com.supermap.udbx.geometry.cad,CadGeometryWriter,875,0,44,0,157,0,40,0,18,0
udbx4j,com.supermap.udbx.geometry.cad,CadGeometry.GeoRect,23,0,0,0,2,0,2,0,2,0
udbx4j,com.supermap.udbx.geometry.cad,StyleFill,36,0,0,0,1,0,1,0,1,0
udbx4j,com.supermap.udbx.geometry.cad,StyleLine,12,0,0,0,1,0,1,0,1,0
udbx4j,com.supermap.udbx.geometry.cad,CadGeometry.GeoEllipse,23,0,0,0,2,0,2,0,2,0
udbx4j,com.supermap.udbx.geometry.cad,CadGeometry.GeoPie,29,0,0,0,2,0,2,0,2,0
udbx4j,com.supermap.udbx.geometry.cad,CadGeometry.GeoPoint,14,0,0,0,2,0,2,0,2,0
udbx4j,com.supermap.udbx.geometry.cad,CadGeometry.GeoPoint3D,17,0,0,0,2,0,2,0,2,0
udbx4j,com.supermap.udbx.geometry.cad,CadGeometry.GeoArc,26,0,0,0,2,0,2,0,2,0
udbx4j,com.supermap.udbx.geometry.cad,CadGeometry.GeoLine3D,23,0,0,0,2,0,2,0,2,0
udbx4j,com.supermap.udbx.geometry.cad,CadGeometry.GeoEllipticArc,29,0,0,0,2,0,2,0,2,0
udbx4j,com.supermap.udbx.geometry.cad,CadGeometry.GeoCurveObject,18,0,0,0,2,0,2,0,2,0
udbx4j,com.supermap.udbx.geometry.cad,CadGeometry.GeoCircle,17,0,0,0,2,0,2,0,2,0
udbx4j,com.supermap.udbx.geometry.cad,CadGeometry.GeoRegion,20,0,0,0,2,0,2,0,2,0
udbx4j,com.supermap.udbx.geometry.gaia,GaiaGeometryWriter,628,0,32,0,125,0,26,0,10,0
udbx4j,com.supermap.udbx.geometry.gaia,GaiaGeometryReader,418,341,37,23,93,90,32,17,6,13
udbx4j,com.supermap.udbx.core,FieldInfo,30,0,2,0,6,0,2,0,1,0
udbx4j,com.supermap.udbx.core,GeometryType,318,0,8,0,37,0,9,0,5,0
udbx4j,com.supermap.udbx.core,FieldType,31,109,4,0,5,18,4,2,2,2
udbx4j,com.supermap.udbx.core,DatasetInfo,0,26,0,0,0,4,0,1,0,1
udbx4j,com.supermap.udbx.core,DatasetType,9,152,1,3,2,24,2,4,1,3
udbx4j,com.supermap.udbx,UdbxDataSource,542,84,26,7,98,19,38,8,20,5
